subtitle_filename,year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
1981_Endless.Love,1981,0.335,0.756,0.253,0.756,0.5,0.644,0.49,0.744,0.59,0.811,0.539,0.772
2016_Rogue.One.2016.720p.BluRay.x264-SPARKS,2016,0.24,0.8,0.19,0.8,0.34,0.8,0.59,0.7,0.69,0.8,0.606,0.79
2018_Mission.Impossible.Fallout.2018.KORSUB.HDRip.x264-STUTTERSHIT,2018,0.316,0.791,0.216,0.791,0.5,0.718,0.509,0.7,0.655,0.8,0.556,0.782
1992_Sister Act (1992)(includes lyrics),1992,0.446,0.685,0.41,0.685,0.529,0.638,0.693,0.792,0.793,0.892,0.749,0.854
2011_Captain.America.The.First.Avenger.2011.BluRay.720p.DTS.x264-CHD.eng,2011,0.7,0.8,0.6,0.733,0.8,0.9,0.7,0.8,0.8,0.9,0.795,0.894
2013_Despicable.Me.2.2013.720p.BluRay.x264-VeDeTT,2013,0.5,0.6,0.5,0.6,0.5,0.6,0.628,0.714,0.76,0.857,0.694,0.786
2000_Dinosaur.2000.PROPER.1080p.BluRay.x264-Japhson,2000,0.5,0.6,0.5,0.6,0.5,0.6,0.562,0.65,0.69,0.775,0.607,0.7
2019_Star.Wars.Episode.IX.The.Rise.of.Skywalker.2020.BDRip.XviD.AC3-EVO,2019,0.3,0.778,0.2,0.756,0.4,0.778,0.559,0.656,0.659,0.756,0.58,0.756
1980_Ordinary.People.1980.720p.WEB-DL.AAC2.0.H.264-BS.eng,1980,0.438,0.65,0.408,0.65,0.5,0.625,0.529,0.7,0.309,0.817,0.409,0.742
1977_The.exorcist.II.-.the.heretic.[shareprovider.com],1977,0.458,0.633,0.437,0.633,0.5,0.617,0.559,0.65,0.58,0.667,0.56,0.667
1977_The.Spy.Who.Loved.Me.1977.DVD5.720p.HDTV.x264-NBS.eng,1977,0.386,0.8,0.329,0.8,0.529,0.8,0.547,0.7,0.66,0.757,0.581,0.757
1989_Batman.1989.720p.BluRay.x264-SiNNERS.ENG,1989,0.43,0.657,0.396,0.657,0.5,0.629,0.468,0.629,0.533,0.643,0.5,0.643
2007_Spider.Man.3.2007.1080p.BluRay.x264.YIFY,2007,0.5,0.6,0.5,0.6,0.5,0.6,0.532,0.625,0.549,0.687,0.54,0.656
2000_Gladiator.EXTENDED.EDITION.2000.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2000,0.233,0.8,0.132,0.789,0.419,0.767,0.489,0.7,0.618,0.756,0.523,0.756
2002_Men.In.Black.II.2002.1080p.Blu-ray.AVC.DTS-HD.MA.5,2002,0.5,0.622,0.5,0.622,0.5,0.622,0.5,0.6,0.54,0.633,0.525,0.622
1994_Speed.1994.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,1994,0.349,0.69,0.303,0.69,0.438,0.65,0.478,0.63,0.56,0.67,0.512,0.66
1987_The.Secret.of.My.Success.1987.720p.BluRay.X264-AMIABLE,1987,0.402,0.683,0.334,0.708,0.51,0.608,0.526,0.667,0.607,0.75,0.553,0.725
1977_Star.Wars.Episode.IV.A.New.Hope.(1977).DVDRip.XviD-UnSeeN,1977,0.433,0.8,0.341,0.758,0.525,0.825,0.693,0.792,0.792,0.858,0.735,0.833
2017_It,2017,0.337,0.722,0.255,0.722,0.5,0.611,0.466,0.744,0.628,0.8,0.562,0.767
1977_Close.Encounters.of.the.Third.Kind.Collectors.Edition.1977.720p.BluRay.DTS.x264-ESiR.ENG,1977,0.414,0.7,0.371,0.7,0.515,0.675,0.621,0.713,0.675,0.762,0.636,0.762
2002_Spider-Man.2002.720p.BluRay.DTS.x264-ESiR.ENG,2002,0.471,0.622,0.457,0.622,0.5,0.611,0.513,0.611,0.603,0.689,0.549,0.656
2018_Deadpool 2,2018,0.304,0.783,0.211,0.783,0.482,0.7,0.576,0.692,0.7,0.808,0.604,0.783
1990_Total.Recall.1990.BluRay.1080p.x264.DTS.dxva-xander.ENG,1990,0.225,0.8,0.125,0.8,0.325,0.8,0.564,0.688,0.653,0.775,0.589,0.775
2008_Madagascar-Escape.2.Africa[2008]DvDrip-aXXo.en,2008,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.745,0.844
2017_Thor.Ragnarok.2017.720p.WEB-DL.H264.AC3-EVO,2017,0.314,0.782,0.221,0.773,0.441,0.745,0.592,0.691,0.7,0.8,0.605,0.791
2012_The.Twilight.Saga.Breaking.Dawn.Part.2.2012.NEW.TS.XviD.AC3-ADTRG,2012,0.5,0.733,0.5,0.733,0.5,0.733,0.7,0.8,0.8,0.9,0.75,0.875
1985_Fletch.1985.1080p.BluRay.x264-Japhson.ENG,1985,0.2,0.8,0.118,0.8,0.442,0.627,0.491,0.691,0.623,0.755,0.545,0.727
2022_Thor.Love.and.Thunder.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264-EVO,2022,0.31,0.755,0.224,0.755,0.479,0.7,0.527,0.7,0.652,0.773,0.582,0.764
2024_Sonic The Hedgehog 3,2024,0.471,0.622,0.457,0.622,0.486,0.622,0.529,0.622,0.628,0.711,0.576,0.672
2021_Free.Guy.2021.BDRip.XviD.AC3-EVO.v2,2021,0.378,0.7,0.32,0.7,0.5,0.65,0.656,0.757,0.751,0.843,0.691,0.811
1979_The.Jerk.1979.1080p.HDDVD.x264-FSiHD.ENG,1979,0.474,0.62,0.461,0.62,0.5,0.61,0.603,0.69,0.688,0.77,0.645,0.74
2019_Joker.2019.720p.HC.HDRip.XviD.AC3-EVO,2019,0.175,0.811,0.088,0.811,0.403,0.678,0.289,0.8,0.389,0.778,0.289,0.8
2009_Harry.Potter.and.the.Half.Blood.Prince.2009.720p.BluRay.DTS.x264-WiKi.eng,2009,0.476,0.618,0.465,0.618,0.5,0.609,0.533,0.627,0.697,0.791,0.609,0.714
2024_Moana.2,2024,0.5,0.6,0.5,0.6,0.5,0.6,0.694,0.778,0.801,0.889,0.761,0.844
2002_My.Big.Fat.Greek.Wedding.2002.DVDRip.XviD.AR - ENG,2002,0.532,0.625,0.514,0.613,0.548,0.625,0.725,0.8,0.825,0.9,0.812,0.888
2009_Star.Trek.2009.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2009,0.514,0.658,0.49,0.65,0.567,0.65,0.531,0.625,0.564,0.65,0.55,0.65
2005_Star.Wars.Episode.III.Revenge.of.the.Sith.(2005).DVDRip.XviD-UnSeeN,2005,0.276,0.756,0.206,0.756,0.389,0.722,0.414,0.711,0.504,0.756,0.431,0.744
1993_Jurassic.Park.TUC.1993.DVDRip.XviD.Subs.EN-UnSeeN,1993,0.474,0.62,0.461,0.62,0.5,0.61,0.511,0.61,0.526,0.62,0.513,0.62
1995_Die.Hard.With.A.Vengeance.1995.1080p.BluRay.x264-WPi.ENG,1995,0.319,0.775,0.229,0.775,0.5,0.687,0.513,0.687,0.642,0.775,0.566,0.756
2013_Iron.Man.3.2013.720p.BluRay.x264-SPARKS,2013,0.3,0.8,0.2,0.793,0.476,0.729,0.536,0.686,0.658,0.786,0.57,0.764
1983_Trading.Places.1983.BluRay.1080p.DTS.x264.dxva-FTW-HD.ENG,1983,0.19,0.8,0.13,0.8,0.511,0.64,0.518,0.71,0.701,0.81,0.622,0.79
1983_Flashdance.[Flashdance].1983.DVDRip.XviD.telumethar.eDonkers.cd1.ENG,1983,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.75,0.85
1994_The.Mask.1994.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,1994,0.43,0.657,0.396,0.657,0.5,0.629,0.532,0.629,0.7,0.8,0.6,0.729
2025_Mickey17,2025,0.193,0.8,0.1,0.8,0.299,0.78,0.514,0.673,0.586,0.747,0.517,0.727
2005_Madagascar[2005]DvDrip-aXXo.en,2005,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.658,0.733,0.582,0.667
2022_Sonic. the. Hedgehog. 2. 2022. 1080p. WEBRip. DDP5. 1. Atmos. x264-NOGRP,2022,0.5,0.6,0.5,0.6,0.5,0.6,0.526,0.62,0.639,0.71,0.585,0.665
2006_The.Da.Vinci.Code.2006.Extended.720p.BluRay.x264-BestHD.eng,2006,0.3,0.8,0.2,0.8,0.485,0.707,0.586,0.714,0.659,0.793,0.591,0.779
2003_Pirates.of.the.Caribbean.The.Curse.of.the.Black.Pearl.Remastered.2003.720p.BluRay.DTSx264-ESiR.eng,2003,0.34,0.8,0.26,0.8,0.51,0.72,0.6,0.71,0.7,0.8,0.6,0.8
2011_The.Twilight.Saga.Breaking.Dawn.Part.1.2011.720p.BluRay.x264-SPARKS English,2011,0.468,0.625,0.452,0.625,0.5,0.612,0.574,0.662,0.727,0.825,0.635,0.744
1998_Theres.Something.About.Mary.1998.Extended.1080p.BluRay.x264.Codres.ENG,1998,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.36,0.76,0.431,0.68
1988_Cocktail,1988,0.5,0.58,0.5,0.58,0.5,0.58,0.5,0.58,0.5,0.58,0.5,0.58
1994_Forrest Gump,1994,0.548,0.777,0.5,0.738,0.703,0.823,0.679,0.777,0.779,0.877,0.758,0.869
1992_Aladdin.1992.1080p.BluRay.X264-AMIABLE,1992,0.449,0.63,0.424,0.63,0.5,0.61,0.571,0.65,0.662,0.73,0.597,0.695
2019_Avengers Endgame 2019 NEW 720p HDCAM x264-iMaX,2019,0.48,0.623,0.462,0.623,0.51,0.623,0.642,0.731,0.734,0.815,0.652,0.75
1979_10,1979,0.5,0.578,0.5,0.578,0.5,0.578,0.5,0.578,0.5,0.578,0.5,0.578
1995_Waterworld.en,1995,0.163,0.8,0.138,0.8,0.233,0.75,0.421,0.662,0.542,0.738,0.465,0.713
2011_POTC 4 - On Stranger Tides (2011) 720p BluRay AC3 x264 - AdiT.english,2011,0.332,0.75,0.248,0.75,0.425,0.75,0.543,0.65,0.589,0.72,0.529,0.71
2015_Furious.Seven.2015.EXTENDED.720p.BluRay.x264-SPARKS,2015,0.476,0.67,0.438,0.66,0.548,0.66,0.63,0.71,0.774,0.84,0.7,0.785
1986_Crocodile.Dundee.1986.720p.BluRay.X264-AMIABLE,1986,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.751,0.85
2019_Captain Marvel (2019).[720p HQ DVDScr - HQ Line Audios - [Hindi + Eng] - x264 - 950MB],2019,0.5,0.667,0.471,0.656,0.544,0.689,0.6,0.689,0.721,0.811,0.642,0.744
1989_Look,1989,0.5,0.6,0.5,0.6,0.5,0.6,0.645,0.733,0.769,0.867,0.726,0.817
1979_The.Amityville.Horror.1979.Blu-ray.Re.x264.1080p.DTS-HDS.ENG,1979,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6
2023_Ant.Man.And.The.Wasp.Quantumania.2023.1080p.WEB-DL.DDP5.1.Atmos.H.264-CMRG,2023,0.376,0.7,0.314,0.7,0.438,0.7,0.573,0.667,0.668,0.756,0.592,0.728
2007_Tranformers.2007.1080p.BluRay.DTS.x264-ESiR.ENG,2007,0.516,0.637,0.49,0.625,0.552,0.644,0.5,0.612,0.545,0.637,0.521,0.625
1984_Indiana Jones and the Temple of Doom 1984 1080p Blu-ray AVC DTS-HD,1984,0.24,0.8,0.16,0.8,0.389,0.72,0.454,0.74,0.64,0.8,0.538,0.78
2013_Star.Trek.Into.Darkness.2013.BluRay.720p.x264-HDWinG,2013,0.292,0.8,0.192,0.8,0.422,0.792,0.549,0.654,0.649,0.754,0.58,0.742
1987_Lethal.Weapon.1.1987.1080p.BluRay.x264-CtrlHD.ENG,1987,0.3,0.787,0.2,0.775,0.5,0.725,0.475,0.7,0.638,0.8,0.537,0.8
2015_Jurassic World,2015,0.294,0.778,0.214,0.778,0.396,0.767,0.5,0.656,0.603,0.733,0.535,0.711
2019_The.Lion.King.2019.BDRip.XviD.AC3-EVO,2019,0.362,0.644,0.362,0.644,0.362,0.644,0.683,0.778,0.79,0.889,0.72,0.817
1987_The.Witches.Of.Eastwick.1987.1080p.Bluray.X264-BRMP.ENG,1987,0.371,0.7,0.329,0.7,0.5,0.625,0.429,0.7,0.513,0.75,0.457,0.725
2006_Pirates.of.the.Caribbean.Dead.Mans.Chest.2006.DIRFIX.DVD9.720p.BluRay.x264-REVEiLLE.eng,2006,0.3,0.8,0.2,0.8,0.427,0.77,0.6,0.7,0.691,0.79,0.605,0.79
1983_National.Lampoons.Vacation.1983.720p.BluRay.DD1.0.x264-CtrlHD,1983,0.336,0.709,0.295,0.709,0.5,0.627,0.529,0.655,0.607,0.745,0.563,0.718
2015_Star.Wars.Episode.VII.The.Force.Awakens.2015.720p.BluRay.x264-Replica,2015,0.3,0.8,0.2,0.8,0.4,0.8,0.6,0.7,0.7,0.8,0.606,0.789
1996_The First Wives Club,1996,0.476,0.618,0.455,0.627,0.51,0.609,0.59,0.727,0.389,0.791,0.499,0.759
2009_Ice.Age.3 .R5.LINE.XviD-COALiTiON (Edited),2009,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.742,0.842
2010_Iron.Man.2.(2010).BDRip.AC3.XviD-CaLLiOpeD,2010,0.332,0.769,0.244,0.762,0.5,0.7,0.556,0.677,0.653,0.762,0.59,0.746
1991_The.Silence.Of.The.Lambs.1991.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,1991,0.34,0.778,0.249,0.778,0.513,0.7,0.443,0.722,0.591,0.778,0.506,0.767
2018_Avengers Infinity War 2018 NEW PROPER HD-CAM 720p Hindi + English X264 CPG - KatmovieHD.Ney,2018,0.368,0.71,0.314,0.7,0.5,0.68,0.564,0.66,0.651,0.74,0.581,0.73
1989_Back.to.the.Future.Part.II.1989.720p.BluRay.X264-AMIABLE,1989,0.476,0.618,0.465,0.618,0.5,0.609,0.488,0.618,0.476,0.618,0.476,0.618
2005_War.of.the.Worlds.2005.mHD.Bluray.DD5.1.x264-EPiK.eng,2005,0.306,0.722,0.246,0.722,0.366,0.722,0.486,0.644,0.551,0.678,0.514,0.678
1981_The.Great.Muppet.Caper.1981.AE.DVDRip.XviD-Shoo.ENG,1981,0.5,0.6,0.5,0.6,0.5,0.6,0.64,0.727,0.766,0.864,0.702,0.795
2023_The.Super.Mario.Bros.Movie.2023.1080p.MA.WEBRip.DDP5.1.Atmos.x264-CMaRioG,2023,0.5,0.6,0.5,0.6,0.5,0.6,0.542,0.633,0.694,0.783,0.616,0.708
2024_Kingdom.Of.The.Planet.Of.The.Apes,2024,0.125,0.8,0.075,0.8,0.175,0.8,0.552,0.675,0.557,0.7,0.541,0.7
1997_Face.Off.1997.1080p.BD9.OXiDE.ENG,1997,0.267,0.8,0.167,0.8,0.477,0.711,0.398,0.689,0.566,0.789,0.466,0.778
2016_The. Jungle. Book. 2016. 720p. BluRay. x264-AN0NYM0US,2016,0.5,0.6,0.5,0.6,0.5,0.6,0.614,0.7,0.7,0.775,0.657,0.738
2020_The.Invisible.Man.2020.HDRip.XviD.AC3-EVO,2020,0.348,0.7,0.329,0.7,0.5,0.6,0.405,0.683,0.306,0.783,0.338,0.75
2007_[HDTeam]El Ultimatum De Bourne[1080p-Bluray][Dual+Subs][By Devilmort].ENG,2007,0.286,0.8,0.186,0.8,0.411,0.771,0.453,0.643,0.543,0.7,0.464,0.7
2014_Guardians.of.the.Galaxy.2014.DVDRip.X264.AC3.5.1-PLAYNOW,2014,0.457,0.622,0.443,0.622,0.471,0.622,0.5,0.6,0.542,0.656,0.512,0.633
2014_The.Hunger.Games.Mockingjay.Part.1.2014.720p.BluRay.x264-SPARKS,2014,0.27,0.8,0.19,0.8,0.37,0.8,0.611,0.71,0.7,0.8,0.615,0.8
2005_The.Chronicles.Of.Narnia.2005.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2005,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.738,0.837
2016_The.Secret.Life.of.Pets.2016.720p.BluRay.x264-SPARKS,2016,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.686,0.731,0.829,0.663,0.757
1993_Mrs.Doubtfire.1993.720p.BluRay.x264-SiNNERS,1993,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.762,0.861
1990_back.to.the.future.part.3.1990.720p.bluray.x264-nezu.eng,1990,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.75,0.85
1981_For.Your.Eyes.Only.1981.REAL.REPACK.1080p.BluRay.x264-RoCKRioT.ENG,1981,0.326,0.767,0.239,0.767,0.5,0.683,0.585,0.683,0.674,0.767,0.596,0.767
1991_Dances.With.Wolves.1990.Directors.Cut.BRRip.XviD.AC3-FLAWL3SS.fixed,1991,0.3,0.8,0.197,0.789,0.431,0.778,0.756,0.889,0.856,0.9,0.839,0.9
1980_Any.Which.Way.You.Can.1980.XViD.5.1.AC3-ShitBusters.ENG,1980,0.5,0.6,0.5,0.6,0.5,0.6,0.654,0.743,0.774,0.871,0.699,0.793
2024_Venom. The. Last. Dance,2024,0.346,0.743,0.269,0.743,0.423,0.743,0.516,0.614,0.62,0.714,0.552,0.686
1985_Witness,1985,0.42,0.667,0.38,0.667,0.5,0.617,0.664,0.733,0.723,0.783,0.674,0.742
1994_The.Lion.King.1994.720p.BluRay.DD5.1.x264-DON,1994,0.42,0.625,0.42,0.625,0.42,0.625,0.7,0.8,0.8,0.9,0.726,0.825
1994_Interview.with.the.Vampire.2008.720p.BluRay.x264-ESiR.ENG,1994,0.438,0.65,0.412,0.637,0.5,0.625,0.469,0.65,0.539,0.713,0.493,0.688
2002_Harry.Potter.and.the.Chamber.of.Secrets.2002.720p.HDDVD.DTS.x264-ESiR.ENG,2002,0.5,0.6,0.5,0.6,0.5,0.6,0.539,0.631,0.613,0.692,0.568,0.658
2011_Thor,2011,0.5,0.587,0.5,0.587,0.5,0.587,0.5,0.587,0.5,0.587,0.5,0.587
1979_Apocalypse Now Redux.en,1979,0.206,0.8,0.111,0.789,0.322,0.8,0.416,0.7,0.421,0.706,0.38,0.706
1978_Jaws.2.ENG.25FPS,1978,0.257,0.8,0.171,0.8,0.418,0.7,0.588,0.686,0.605,0.786,0.567,0.786
2003_Terminator.3.2003.720p.HDDVD.x264-ESiR.ENG,2003,0.15,0.8,0.083,0.8,0.25,0.8,0.519,0.617,0.556,0.683,0.502,0.667
2021_Black.Widow.2021.1080p.WEB.H264-TIMECUT,2021,0.3,0.8,0.2,0.8,0.464,0.733,0.567,0.7,0.648,0.789,0.574,0.778
1993_Proposta.Indecente.[1993].DVDRip.WS.AC3.UnitedShare.ENG,1993,0.347,0.729,0.271,0.729,0.5,0.614,0.425,0.686,0.572,0.814,0.5,0.757
2020_Jumanji.The.Next.Level.2019.HC.720p.HDRip.800MB.x264-GalaxyRG,2020,0.5,0.6,0.5,0.6,0.5,0.6,0.567,0.655,0.73,0.827,0.647,0.741
2002_A.Beautiful.Mind.2001.BluRay.720p.DTS.x264-CHD.eng,2002,0.3,0.8,0.2,0.8,0.468,0.75,0.6,0.7,0.7,0.8,0.61,0.8
1984_Gremlins. 1984. 1080p. Bluray. X264-DIMENSION. ENG,1984,0.283,0.8,0.2,0.8,0.5,0.683,0.564,0.75,0.684,0.833,0.62,0.817
2015_Inside.Out.2015.1080p.WEB-DL.AAC2.0.H264-RARBG,2015,0.5,0.6,0.5,0.6,0.5,0.6,0.709,0.8,0.809,0.9,0.76,0.85
1987_The.Untouchables.1987.720p.BluRay.DTS.x264-ESiR.ENG,1987,0.25,0.8,0.15,0.8,0.5,0.65,0.447,0.713,0.552,0.787,0.477,0.75
2008_Quantum.Of.Solace[2008]DvDrip-aXXo.en,2008,0.3,0.8,0.2,0.8,0.5,0.7,0.456,0.714,0.629,0.786,0.529,0.786
2017_Logan,2017,0.175,0.811,0.11,0.811,0.263,0.811,0.562,0.711,0.7,0.8,0.589,0.8
1983_SW.Episode.6.Return.of.the.Jedi.1983.BluRay.1080p.DTSES6.1.x264-CHD.eng,1983,0.43,0.657,0.396,0.657,0.482,0.643,0.639,0.729,0.76,0.857,0.676,0.8
1998_Godzilla,1998,0.5,0.589,0.5,0.589,0.529,0.611,0.5,0.589,0.513,0.6,0.513,0.6
2012_Skyfall.2012.720p.BluRay.x264-DAA.eng,2012,0.287,0.8,0.2,0.8,0.487,0.7,0.487,0.688,0.616,0.787,0.528,0.75
2014_Dawn.of.the.Planet.of.the.Apes.2014.1080p.BluRay.x264-SPARKS,2014,0.08,0.8,0.06,0.8,0.12,0.8,0.479,0.68,0.608,0.74,0.536,0.72
1978_Every.Which.Way.But.Loose.1978.1080p.BluRay.x264-aAF.ENG,1978,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.681,0.775,0.589,0.688
2020_1917,2020,0.3,0.733,0.227,0.733,0.373,0.733,0.554,0.65,0.595,0.717,0.549,0.717
2018_Ant Man and the Wasp 2018 New HDCAM-X264-Sexxy,2018,0.5,0.6,0.5,0.6,0.5,0.6,0.586,0.673,0.727,0.818,0.644,0.736
2021_Ghostbusters.Afterlife.2021.1080p.AMZN.WEB-DL.DDP5.1.H.264-EVO,2021,0.5,0.6,0.5,0.6,0.5,0.6,0.625,0.711,0.663,0.744,0.635,0.722
2019_Toy.Story.4.2019.720p.HDCAM-1XBET,2019,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.75,0.85
1996_Twister.1996.720p.BluRay.x264-HALCYON,1996,0.438,0.65,0.408,0.65,0.5,0.625,0.676,0.787,0.727,0.838,0.694,0.819
2024_Gladiator.II,2024,0.2,0.8,0.1,0.8,0.386,0.8,0.5,0.7,0.604,0.771,0.511,0.729
2008_Wall-E[2008]DvDrip-aXXo.en,2008,0.114,0.84,0.057,0.84,0.197,0.78,0.542,0.76,0.727,0.82,0.627,0.8
1982_Star Trek 02 Wrath Of Khan 1982 1280x528.eng,1982,0.429,0.756,0.394,0.756,0.488,0.756,0.609,0.722,0.691,0.778,0.619,0.767
2007_300.eng,2007,0.263,0.771,0.174,0.771,0.536,0.8,0.604,0.714,0.693,0.771,0.604,0.771
1995_Pocahontas.1995.720p.BluRay.x264.DTS-WiKi.eng,1995,0.346,0.712,0.275,0.712,0.416,0.7,0.663,0.737,0.71,0.787,0.657,0.762
1979_meatballs.1979.720p.bluray.x264-psychd-eng,1979,0.5,0.545,0.5,0.545,0.5,0.545,0.5,0.545,0.526,0.564,0.511,0.555
1985_Cocoon.1985.1080p.BluRay.x264-CiNEFiLE.ENG,1985,0.5,0.6,0.5,0.6,0.5,0.6,0.614,0.7,0.753,0.85,0.682,0.775
1993_Cliffhanger.1993.Blu-ray.720p.x264.DTS-CHD.ENG,1993,0.323,0.65,0.279,0.65,0.398,0.65,0.47,0.588,0.486,0.613,0.464,0.606
2000_The.Perfect.Storm.2000.720p.BluRay.DDEX.x264-ESiR.ENG,2000,0.468,0.625,0.468,0.625,0.5,0.6,0.562,0.65,0.67,0.75,0.605,0.694
1999_The.Sixth.Sense.1999.REMASTERED.720p.BluRay.x264-iLLUSiON,1999,0.5,0.6,0.5,0.6,0.5,0.6,0.645,0.733,0.706,0.783,0.675,0.758
2024_The.Wild.Robot,2024,0.468,0.625,0.452,0.625,0.484,0.625,0.625,0.713,0.705,0.787,0.67,0.756
2012_amazingspiderman,2012,0.5,0.59,0.5,0.59,0.5,0.59,0.5,0.59,0.551,0.63,0.523,0.61
2003_X2 X-Men United 2003 Dvdrip Xvid Ac3.5.1Ch Cd1-Waf,2003,0.3,0.8,0.2,0.8,0.4,0.8,0.6,0.7,0.655,0.775,0.589,0.775
1980_Stir Crazy,1980,0.267,0.8,0.167,0.8,0.5,0.644,0.556,0.7,0.678,0.8,0.609,0.778
1990_Teenage.Mutant.Ninja.Turtles.1990.1080p.BluRay.x264-HDCLASSICS.ENG,1990,0.5,0.6,0.484,0.614,0.516,0.614,0.536,0.629,0.681,0.771,0.604,0.7
1979_Moonraker. 1979. BluRay. 720p. x264. AC3-CMCT,1979,0.22,0.75,0.169,0.75,0.318,0.733,0.482,0.65,0.576,0.7,0.519,0.7
1983_Staying.Alive.1983.DVDRip.XviD.AR - ENG,1983,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.542,0.633,0.519,0.617
2024_Dune.Part.Two,2024,0.2,0.8,0.15,0.8,0.3,0.8,0.7,0.85,0.8,0.85,0.753,0.85
2012_Brave.2012.720p.BluRay.x264.AC3-HDChina,2012,0.542,0.633,0.519,0.617,0.569,0.65,0.717,0.8,0.817,0.9,0.771,0.85
2021_A.Quiet.Place.Part.II.2020.PROPER.1080p.WEB-DL.DDP5.1.Atmos.H264-CMRG,2021,0.1,0.8,0.1,0.8,0.14,0.75,0.554,0.65,0.607,0.75,0.557,0.7
2024_A.Quiet.Place.Day.One,2024,0.3,0.8,0.2,0.8,0.5,0.7,0.6,0.7,0.7,0.8,0.6,0.8
